,Cost,Mfr Dt Fz,Product,Contract Cust Id,Contract Dt,Contract Expiration Dt,Nbv,Billing Status Fz,Top1Lessee,Top3Lessees,MfrAge,ExpYear
9443,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.96,ON,1,1,1.43,6.77
26789,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
13107,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5591.07,ON,1,1,1.41,6.77
12686,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
1255,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.838,ON,0,1,4.77,7.36
27444,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
2507,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.832,ON,0,1,4.77,7.36
13935,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
27154,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
28036,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
21779,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.005,ON,0,1,4.51,4.06
19243,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.45,ON,0,1,4.47,4.06
13719,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
22530,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.004,ON,0,1,4.51,4.06
25718,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1900.26,ON,0,1,4.51,4.06
29734,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.49,ON,0,1,4.73,7.36
28910,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.487,ON,0,1,4.73,7.36
17607,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
18548,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
11148,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4155.25,ON,0,1,1.5,6.65
17005,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
26230,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1884.21,ON,0,1,4.51,4.06
17676,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
17191,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
10252,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
26179,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1884.21,ON,0,1,4.51,4.06
11992,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
24807,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1880.708,ON,0,1,4.51,4.06
14436,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
2612,3714.8,7/13/2018,1,PANOCEAN,2018-07-16,2023-09-30,3023.447,ON,0,0,4.2,1.02
21896,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.004,ON,0,1,4.51,4.06
12934,4420.0,2/23/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.58,6.65
9317,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.96,ON,1,1,1.43,6.77
23861,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.167,ON,0,1,4.51,4.06
22293,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.001,ON,0,1,4.51,4.06
18285,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
24757,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1880.71,ON,0,1,4.51,4.06
28432,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
7397,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2983.22,ON,1,1,4.29,9.86
11130,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4155.25,ON,0,1,1.5,6.65
11253,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4155.25,ON,0,1,1.5,6.65
16031,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
4361,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.313,ON,1,1,4.57,9.86
24552,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1880.71,ON,0,1,4.51,4.06
24862,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1880.707,ON,0,1,4.51,4.06
14782,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
18920,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.958,ON,1,1,1.43,6.77
27982,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
27679,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
26741,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
18315,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
18271,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
21506,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.459,ON,0,1,4.47,4.06
8237,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2967.91,ON,1,1,4.29,9.86
12128,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
