,Cost,Mfr Dt Fz,Product,Contract Cust Id,Contract Dt,Contract Expiration Dt,Nbv,Billing Status Fz,Top1Lessee,Top3Lessees,MfrAge,ExpYear
29875,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.49,ON,0,1,4.73,7.36
18016,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
16627,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
1487,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.838,ON,0,1,4.77,7.36
20865,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.453,ON,0,1,4.47,4.06
22094,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.001,ON,0,1,4.51,4.06
3465,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.311,ON,1,1,4.57,9.86
5747,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.73,9.86
23034,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.09,ON,0,1,4.51,4.06
13582,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
7220,3682.0,1/1/2018,1,CMA,2020-06-01,2032-05-31,2885.58,ON,0,0,4.73,9.69
28857,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.485,ON,0,1,4.73,7.36
26141,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1884.21,ON,0,1,4.51,4.06
7099,3682.0,1/1/2018,1,TCLC,2018-02-01,2025-05-31,2917.311,ON,0,0,4.73,2.69
2451,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.794,ON,0,1,4.77,7.36
29261,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.486,ON,0,1,4.73,7.36
21123,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.456,ON,0,1,4.47,4.06
14741,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
25311,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1900.275,ON,0,1,4.51,4.06
28981,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.489,ON,0,1,4.73,7.36
4037,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.312,ON,1,1,4.57,9.86
19897,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.45,ON,0,1,4.47,4.06
3911,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.312,ON,1,1,4.57,9.86
8676,3773.0,7/13/2018,1,COSMR,2019-01-01,2024-04-30,3126.979,ON,0,0,4.2,1.6
14030,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
11362,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4155.25,ON,0,1,1.5,6.65
13740,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
27473,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
1562,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.84,ON,0,1,4.77,7.36
28779,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.485,ON,0,1,4.73,7.36
6504,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.008,ON,1,1,4.73,9.86
19561,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.45,ON,0,1,4.47,4.06
3814,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.312,ON,1,1,4.57,9.86
21999,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.004,ON,0,1,4.51,4.06
16330,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
5088,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.012,ON,1,1,4.57,9.86
2386,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.797,ON,0,1,4.77,7.36
11458,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4155.25,ON,0,1,1.5,6.65
7811,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2983.211,ON,1,1,4.29,9.86
17777,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
7107,3682.0,1/1/2018,1,TCLC,2018-02-01,2025-05-31,2917.311,ON,0,0,4.73,2.69
21648,3849.0,4/16/2018,1,ONE,2018-02-01,2026-10-14,3123.453,ON,0,1,4.44,4.06
11812,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
17512,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
26451,2267.0,3/16/2018,1,ONE,2018-02-01,2026-10-14,1904.18,ON,0,1,4.53,4.06
1445,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.838,ON,0,1,4.77,7.36
4831,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.008,ON,1,1,4.57,9.86
27906,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
10011,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
26245,2267.0,3/16/2018,1,ONE,2018-02-01,2026-10-14,1904.18,ON,0,1,4.53,4.06
28493,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
10440,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
28280,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
1165,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.838,ON,0,1,4.77,7.36
4299,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.313,ON,1,1,4.57,9.86
22603,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.001,ON,0,1,4.51,4.06
18231,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
20348,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.45,ON,0,1,4.47,4.06
24540,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1880.71,ON,0,1,4.51,4.06
27261,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
1816,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.799,ON,0,1,4.77,7.36
9516,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
29181,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.485,ON,0,1,4.73,7.36
22006,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.004,ON,0,1,4.51,4.06
259,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.836,ON,0,1,4.77,7.36
18287,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
19119,5150.0,5/21/2021,1,MSC,2021-04-01,2029-06-30,4801.46,ON,1,1,1.34,6.77
7513,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2983.22,ON,1,1,4.29,9.86
3495,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.311,ON,1,1,4.57,9.86
22101,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.001,ON,0,1,4.51,4.06
10925,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4155.25,ON,0,1,1.5,6.65
103,3682.0,12/15/2017,1,HAPAG,2017-11-01,2030-01-31,2852.88,ON,0,1,4.78,7.36
8302,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2967.91,ON,1,1,4.29,9.86
19198,5150.0,5/21/2021,1,MSC,2021-04-01,2029-06-30,4801.46,ON,1,1,1.34,6.77
94,3682.0,12/15/2017,1,HAPAG,2017-11-01,2030-01-31,2852.88,ON,0,1,4.78,7.36
14299,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
20675,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.453,ON,0,1,4.47,4.06
12022,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
9491,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.96,ON,1,1,1.43,6.77
9121,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.96,ON,1,1,1.43,6.77
16020,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
20700,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.453,ON,0,1,4.47,4.06
1729,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.795,ON,0,1,4.77,7.36
2904,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.31,ON,1,1,4.57,9.86
4258,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.313,ON,1,1,4.57,9.86
4702,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.004,ON,1,1,4.57,9.86
22399,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.0,ON,0,1,4.51,4.06
12528,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
1241,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.838,ON,0,1,4.77,7.36
17312,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
29019,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.489,ON,0,1,4.73,7.36
19020,5150.0,5/21/2021,1,MSC,2021-04-01,2029-06-30,4801.46,ON,1,1,1.34,6.77
27750,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
10538,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
28514,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
24414,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1880.705,ON,0,1,4.51,4.06
14304,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
431,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.836,ON,0,1,4.77,7.36
8018,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2967.91,ON,1,1,4.29,9.86
7773,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2983.214,ON,1,1,4.29,9.86
15989,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
17989,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
2198,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.799,ON,0,1,4.77,7.36
21792,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.005,ON,0,1,4.51,4.06
5654,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.73,9.86
13054,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5591.07,ON,1,1,1.41,6.77
11358,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4155.25,ON,0,1,1.5,6.65
3973,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.312,ON,1,1,4.57,9.86
3995,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.312,ON,1,1,4.57,9.86
